martedi;mercoledi;giovedi
Cremona, sesto 39;Cremona, sesto 39;Cremona, sesto 39
Cremona, Ugolani Dati, 4;Persico Dosimo, Albert ,7;Cremona, Ugolani Dati, 4
Cingia de' Botti, Giuseppina, 79;Vescovato, Roma, 44;Cremona, Palosca n. 2
Solarolo Rainerio, Giuseppina, 81;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Bonemerse, Roma, 25
San Giovanni in Croce, Feudatari, 25 A;Ostiano, Mazzini, 1;Vescovato, Roma, 44
Piadena, Platina, 40;Crema, Civerchi, 9;Ostiano, Mazzini, 1
Martignana di Po, Libertà, 64;Spino d'Adda, Circonvallazione, 13;Piadena, Platina, 40
Casalmaggiore, Guglielmo Marconi, 8;San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia
Pizzighettone, Giuseppe Garibaldi, 18;;Rivarolo del Re ed Uniti, Giovanni XXIII, 5
San Giovanni in Croce, Feudatari, 25 A;;San Giovanni in Croce, Feudatari, 25 A
