lunedi;martedi;mercoledi;giovedi;venerdi
Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39
Castelverde, Ubaldo Ferrari, 15;Paderno Ponchielli, Municipio, 3;San Bassano, Mons. Frosi;Cremona, Sesto 39;Persico Dosimo, Albert ,7
Cremona, Ugolani Dati, 4;Soresina, Giacomo Matteotti, 6;Castelleone, Roma, 67;Sesto ed Uniti, Roma, 4;Gadesco-Pieve Delmona, Giovanni Lonati 9
Gadesco-Pieve Delmona, Giovanni Lonati 9;Izano, Gerardo da Izano, 4/C;Trigolo, Roma, 26;Grumello Cremonese ed Uniti, Roma, 2;Pescarolo ed Uniti, Giuseppe Mazzini, 73
Grontardo, Roma, 16;Crema, Civerchi, 9;Fiesco, Giuseppe Parini, 10;Annicco, Giuseppe Garibaldi, 6;Sospiro, Tosi
San Giovanni in Croce, Feudatari, 25 A;Pandino, Castello, 15;Offanengo, Clavelli Martini, 5;Casalbuttano ed Uniti, Jacini, 23;Solarolo Rainerio, Giuseppina, 81
Gussola, Comaschi, 1;Dovera, Oldrini 2;Camisano, Trieste, 57;Soncino, Dante Alighieri, 23;Isola Dovarese, Giacomo Matteotti, 1
Manerbio, INSURREZIONE NAZIONALE;Vaiano Cremasco,  Gloriosi Caduti, 3;Pianengo, Nenni;Romanengo, Guaiarini, 14;Pizzighettone, Giuseppe Garibaldi, 18
Soncino, Dante Alighieri, 23;Monte Cremasco, Roma, 12;Trescore Cremasco, Vittorio Veneto, 1;Offanengo, Clavelli Martini, 5;Castelleone, Roma, 67
Soresina, Giacomo Matteotti, 6;Rivolta d'Adda, Stefano Renzi, 5;Palazzo Pignano, Marco Polo, 31;Sergnano, IV Novembre,  10;Madignano, Portici, 4
Ripalta Cremasca, Roma, 5;Vailate, Dante Alighieri, 7;Pandino, Castello, 15;Crema, Civerchi, 9;Ricengo, Guglielmo Marconi
Bagnolo Cremasco, Roma, 3;Casaletto Vaprio, Maggiore, 7;Agnadello, Marconi, 6;Spino d'Adda, Circonvallazione, 13;Rivolta d'Adda, Stefano Renzi, 5
Casalpusterlengo, Pusterla 7;Casale Cremasco-Vidolasco, Roma, 56;Capralba, Piave, 2;Capergnanica, XI febbraio, 7;Ostiano, Mazzini, 1
Ostiano, Mazzini, 1;Casalmaggiore, Guglielmo Marconi, 8;Crema, Civerchi, 9;Montodine,  XXV Aprile, 10;
;Viadana, A. Manzoni, 2;Pizzighettone, Giuseppe Garibaldi, 18;Casalpusterlengo, Pusterla 7;
;Ostiano, Mazzini, 1;Cremona, Felice Cavallotti, 2;Ostiano, Mazzini, 1;
;;Manerbio, INSURREZIONE NAZIONALE;;
;;Ostiano, Mazzini, 1;;
