martedi;mercoledi;giovedi
Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39
Pizzighettone, Giuseppe Garibaldi, 18;Persico Dosimo, Albert ,7;Cremona, Ugolani Dati, 4
Cremona, Ugolani Dati, 4;Vescovato, Roma, 44;Cremona, Palosca n. 2
Cingia de' Botti, Giuseppina, 79;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Bonemerse, Roma, 25
Solarolo Rainerio, Giuseppina, 81;Ostiano, Mazzini, 1;Vescovato, Roma, 44
San Giovanni in Croce, Feudatari, 25 A;Crema, Civerchi, 9;Ostiano, Mazzini, 1
Piadena, Platina, 40;Spino d'Adda, Circonvallazione, 13;Piadena, Platina, 40
Martignana di Po, Libertà, 64;San Giovanni in Croce, Feudatari, 25 A;Rivarolo del Re ed Uniti, Giovanni XXIII, 5
Casalmaggiore, Guglielmo Marconi, 8;;Scandolara Ravara, Italia
San Giovanni in Croce, Feudatari, 25 A;;San Giovanni in Croce, Feudatari, 25 A
