;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casaletto Vaprio, Maggiore, 7;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Crema, Dante Alighieri, 49;Cremona, Sesto, 41;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libertï¿½, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Roma, 59;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi (ex piazza Scuole);San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Ostiano;San Giovanni
Agnadello, Marconi, 6;0.18.333333333333326;4,13E+16;1,70E+16;5,85E+15;2,29E+16;17.0;1,03E+16;4606666666666660.0;2,17E+16;12.733.333.333.333.300;87.65;3,51E+15;28.75;49.8;7066666666666660.0;2,10E+16;2,09E+16;41.55;5,40E+16;11.45;29.5;58.05;6,31E+16;40.05;8151666666666660.0;70.65;2,43E+16;2,33E+16;8,22E+15;12.5;12.5;23.85;6586666666666660.0;41.35;12.15;7.35;5,51E+15;6528333333333330.0;75.65;3048666666666660.0;41.65;53.5;1,00E+16;20.4;20.05;8891666666666660.0;7,67E+15;2,75E+16;35.3;76.4;76.8;1,89E+16;4,30E+16;75.35;3,02E+16;3828333333333330.0;6.131.666.666.666.660;12.25;12.55;32.95;12.65;7,17E+15;6178333333333330.0;5,52E+15;5,61E+15;66.7;66.7
Annicco, Giuseppe Garibaldi, 6;39.96666666666660.0;0.0;33.1;2,55E+16;33.65;28.2;3,83E+16;10.55;3,26E+15;3.611.666.666.666.660;5471666666666660.0;2,51E+16;13.95;1,58E+16;37.65;27.15;2,65E+16;8.5;2,11E+16;3,64E+15;1,88E+16;2,50E+16;3,02E+16;6233333333333330.0;4853333333333330.0;3763333333333330.0;21.8;21.65;4,92E+16;3363333333333330.0;1,88E+16;2,72E+16;3838333333333330.0;0.03333333333333333;0.03333333333333333;3,67E+16;2,22E+16;3231666666666660.0;4,27E+16;2838666666666660.0;1,60E+16;37.4;6,74E+15;2,97E+16;2,27E+16;5596666666666660.0;4,31E+15;21.95;21.95;4,34E+16;4386666666666660.0;3,37E+16;9.95;42.35;2,11E+16;7833333333333330.0;29.15;38.1;3,57E+15;1,53E+16;32.85;43.05;28.85;2,23E+16;23.05;3,78E+16;3,78E+16
Bagnolo Cremasco, Roma, 3;15.15;3,23E+16;0.0;4,95E+16;22.9;7.55;1,96E+16;40.35;2,19E+16;14.583.333.333.333.300;78.55;28.75;19.65;4,08E+15;6163333333333330.0;1,32E+16;13.15;32.55;4,49E+15;1,15E+16;2,13E+16;4,90E+16;5,40E+15;31.05;7256666666666660.0;61.65;16.1;15.1;7,31E+15;6983333333333330.0;6,98E+15;1,79E+16;6243333333333330.0;32.35;7.05;1,14E+16;46.15;5628333333333330.0;66.65;2981666666666660.0;3,05E+16;5,08E+16;9,13E+15;1,90E+16;11.85;11.85;1,82E+16;1,93E+16;1,93E+16;6,74E+15;67.8;19.45;3,40E+16;6636666666666660.0;2,72E+16;30.1;52.45;1,33E+16;1,21E+16;24.75;5983333333333330.0;2,16E+16;52.8;4,62E+16;4,71E+16;61.85;61.85
Bonemerse, Roma, 25;58.95;25.816.666.666.666.600;51.25;0.0;52.0;4.658.333.333.333.330;55.95;22.05;50.983.333.333.333.300;53.983.333.333.333.300;32.916.666.666.666.600;36.2;32.2;16.966.666.666.666.600;15.783.333.333.333.300;45.45;44.9;16.783.333.333.333.300;11.416.666.666.666.600;55.233.333.333.333.300;3.781.666.666.666.660;12.116.666.666.666.600;18.816.666.666.666.600;25.1;26.716.666.666.666.600;23.466.666.666.666.600;40.516.666.666.666.600;4.006.666.666.666.660;27.383.333.333.333.300;5.238.333.333.333.330;3.718.333.333.333.330;4.606.666.666.666.660;23.9;25.9;5.113.333.333.333.330;5.536.666.666.666.660;11.766.666.666.666.600;17.983.333.333.333.300;28.5;2.783.833.333.333.330;3.331.666.666.666.660;28.45;46.233.333.333.333.300;48.25;41.15;3.418.333.333.333.330;61.983.333.333.333.300;4.103.333.333.333.330;29.7;21.6;22.0;52.05;20.233.333.333.333.300;2.058.333.333.333.330;4.263.333.333.333.330;31.3;6.933.333.333.333.330;57.016.666.666.666.600;54.05;3.478.333.333.333.330;51.65;6.086.666.666.666.660;14.5;12.366.666.666.666.600;4.766.666.666.666.660;23.433.333.333.333.300;22.016.666.666.666.600
Camisano, Trieste, 57;22.75;33.0;23.466.666.666.666.600;52.2;0.0;19.616.666.666.666.600;15.683.333.333.333.300;33.016.666.666.666.600;5.8;15.166.666.666.666.600;81.2;3.943.333.333.333.330;22.15;41.983.333.333.333.300;6.423.333.333.333.330;16.483.333.333.333.300;16.083.333.333.333.300;3.518.333.333.333.330;4.756.666.666.666.660;24.316.666.666.666.600;18.95;51.7;52.05;3.368.333.333.333.330;7.518.333.333.333.330;6.448.333.333.333.330;14.233.333.333.333.300;16.75;7.583.333.333.333.330;23.35;22.233.333.333.333.300;11.416.666.666.666.600;6.071.666.666.666.660;3.306.666.666.666.660;18.15;20.3;48.75;57.0;6.951.666.666.666.660;31.098.333.333.333.300;37.083.333.333.333.300;40.2;9.446.666.666.666.660;9.166.666.666.666.660;17.033.333.333.333.300;8.251.666.666.666.660;24.383.333.333.333.300;15.183.333.333.333.300;28.666.666.666.666.600;70.0;7.043.333.333.333.330;7.933.333.333.333.330;3.661.666.666.666.660;69.0;17.016.666.666.666.600;27.95;5.511.666.666.666.660;26.616.666.666.666.600;14.95;22.4;2.261.666.666.666.660;18.233.333.333.333.300;5.548.333.333.333.330;48.8;4.971.666.666.666.660;6.096.666.666.666.660;7.043.333.333.333.330
Capergnanica, XI febbraio, 7;18.216.666.666.666.600;29.783.333.333.333.300;9.116.666.666.666.660;4.656.666.666.666.660;19.933.333.333.333.300;0.0;18.966.666.666.666.600;37.833.333.333.333.300;18.9;16.1;7.558.333.333.333.330;25.833.333.333.333.300;16.366.666.666.666.600;3.793.333.333.333.330;5.861.666.666.666.660;10.933.333.333.333.300;9.2;29.55;4.193.333.333.333.330;14.466.666.666.666.600;18.366.666.666.666.600;4.606.666.666.666.660;5.096.666.666.666.660;28.05;6.953.333.333.333.330;5.883.333.333.333.330;13.233.333.333.333.300;12.166.666.666.666.600;7.018.333.333.333.330;11.666.666.666.666.600;10.783.333.333.333.300;15.066.666.666.666.600;5.946.666.666.666.660;2.986.666.666.666.660;10.416.666.666.666.600;14.8;4.306.666.666.666.660;5.341.666.666.666.660;6.386.666.666.666.660;29.981.666.666.666.600;27.3;48.233.333.333.333.300;8.863.333.333.333.330;16.116.666.666.666.600;5.9;7.683.333.333.333.330;21.3;16.416.666.666.666.600;23.016.666.666.666.600;64.35;6.478.333.333.333.330;18.933.333.333.333.300;30.966.666.666.666.600;63.35;24.533.333.333.333.300;27.1;49.45;16.166.666.666.666.600;15.316.666.666.666.600;21.833.333.333.333.300;10.95;23.716.666.666.666.600;4.986.666.666.666.660;4.318.333.333.333.330;44.1;58.983.333.333.333.300;64.8
Capralba, Piave, 2;9.9;3.736.666.666.666.660;19.833.333.333.333.300;5.611.666.666.666.660;15.7;17.833.333.333.333.300;0.11666666666666667;37.8;12.966.666.666.666.600;8.083.333.333.333.330;8.526.666.666.666.660;41.15;2.623.333.333.333.330;4.681.666.666.666.660;6.823.333.333.333.330;13.55;15.416.666.666.666.600;39.2;51.6;18.283.333.333.333.300;23.183.333.333.333.300;55.75;5.653.333.333.333.330;37.7;7.911.666.666.666.660;6.841.666.666.666.660;18.433.333.333.333.300;20.933.333.333.333.300;7.978.333.333.333.330;17.35;23.933.333.333.333.300;15.05;65.4;3.741.666.666.666.660;12.15;14.3;5.268.333.333.333.330;6.158.333.333.333.330;73.45;312.65;41.166.666.666.666.600;44.733.333.333.333.300;9.826.666.666.666.660;11.666.666.666.666.600;18.7;86.5;15.966.666.666.666.600;19.4;3.268.333.333.333.330;7.393.333.333.333.330;7.426.666.666.666.660;9.916.666.666.666.660;4.068.333.333.333.330;7.293.333.333.333.330;21.233.333.333.333.300;32.166.666.666.666.600;5.918.333.333.333.330;20.6;8.95;26.616.666.666.666.600;16.583.333.333.333.300;6.983.333.333.333.330;5.948.333.333.333.330;52.833.333.333.333.300;53.666.666.666.666.600;65.05;74.4
Casalbuttano ed Uniti, Jacini, 23;4.776.666.666.666.660;11.6;42.8;22.966.666.666.666.600;34.083.333.333.333.300;38.85;3.903.333.333.333.330;0.36666666666666653;3.346.666.666.666.660;3.818.333.333.333.330;5.203.333.333.333.330;3.688.333.333.333.330;2.238.333.333.333.330;10.466.666.666.666.600;35.016.666.666.666.600;35.7;35.333.333.333.333.300;15.216.666.666.666.600;18.816.666.666.666.600;4.631.666.666.666.660;22.4;22.466.666.666.666.600;23.0;17.383.333.333.333.300;4.601.666.666.666.660;35.25;25.316.666.666.666.600;31.633.333.333.333.300;4.661.666.666.666.660;4.341.666.666.666.660;29.466.666.666.666.600;29.183.333.333.333.300;31.7;11.683.333.333.333.300;4.163.333.333.333.330;4.361.666.666.666.660;18.8;27.95;4.028.333.333.333.330;290.1;27.533.333.333.333.300;27.866.666.666.666.600;6.531.666.666.666.660;3.238.333.333.333.330;3.336.666.666.666.660;5.328.333.333.333.330;5.211.666.666.666.660;22.783.333.333.333.300;22.233.333.333.333.300;40.833.333.333.333.300;4.121.666.666.666.660;34.5;17.433.333.333.333.300;39.833.333.333.333.300;21.916.666.666.666.600;12.55;26.1;47.983.333.333.333.300;38.333.333.333.333.300;19.033.333.333.333.300;42.6;43.85;2.628.333.333.333.330;20.116.666.666.666.600;20.55;31.383.333.333.333.300;41.266.666.666.666.600
Casale Cremasco-Vidolasco, Roma, 56;2.161.666.666.666.660;32.3;22.65;51.016.666.666.666.600;6.283.333.333.333.330;18.716.666.666.666.600;12.933.333.333.333.300;32.75;0.0;12.15;80.2;38.666.666.666.666.600;21.183.333.333.333.300;4.178.333.333.333.330;6.313.333.333.333.330;15.566.666.666.666.600;15.2;34.15;4.656.666.666.666.660;21.5;18.166.666.666.666.600;50.666.666.666.666.600;5.146.666.666.666.660;32.65;7.406.666.666.666.660;6.336.666.666.666.660;13.416.666.666.666.600;15.883.333.333.333.300;7.473.333.333.333.330;20.65;21.466.666.666.666.600;10.216.666.666.666.600;60.35;32.333.333.333.333.300;15.45;17.516.666.666.666.600;4.763.333.333.333.330;56.5;68.4;309.85;3.611.666.666.666.660;39.666.666.666.666.600;9.321.666.666.666.660;6.883.333.333.333.330;16.216.666.666.666.600;8.151.666.666.666.660;23.633.333.333.333.300;14.366.666.666.666.600;27.666.666.666.666.600;68.95;6.928.333.333.333.330;4.3;35.666.666.666.666.600;6.793.333.333.333.330;16.166.666.666.666.600;27.1;5.396.666.666.666.660;23.866.666.666.666.600;12.233.333.333.333.300;21.583.333.333.333.300;19.883.333.333.333.300;17.583.333.333.333.300;54.5;4.781.666.666.666.660;4.868.333.333.333.330;59.983.333.333.333.300;6.941.666.666.666.660
Casaletto Vaprio, Maggiore, 7;3.688.333.333.333.330;15.533.333.333.333.300;5.418.333.333.333.330;15.583.333.333.333.300;14.833.333.333.333.300;7.616.666.666.666.660;3.746.666.666.666.660;12.633.333.333.333.300;0.0;0.0;8.383.333.333.333.330;37.65;24.066.666.666.666.600;45.4;6.653.333.333.333.330;11.933.333.333.333.300;13.366.666.666.666.600;49.766.666.666.666.600;49.766.666.666.666.600;14.033.333.333.333.300;22.983.333.333.333.300;53.916.666.666.666.600;5.628.333.333.333.330;3.546.666.666.666.660;7.736.666.666.666.660;6.638.333.333.333.330;18.283.333.333.333.300;17.883.333.333.333.300;78.25;12.65;21.033.333.333.333.300;14.75;64.95;36.95;7.483.333.333.333.330;9.616.666.666.666.660;5.086.666.666.666.660;6.121.666.666.666.660;7.168.333.333.333.330;306.95;3.711.666.666.666.660;44.8;9.703.333.333.333.330;11.533.333.333.333.300;15.683.333.333.333.300;84.9;18.15;19.466.666.666.666.600;30.716.666.666.666.600;7.231.666.666.666.660;72.6;9.783.333.333.333.330;3.881.666.666.666.660;7.118.333.333.333.330;21.466.666.666.666.600;3.228.333.333.333.330;27.533.333.333.333.300;16.133.333.333.333.300;4.216.666.666.666.660;26.616.666.666.666.600;11.933.333.333.333.300;10.366.666.666.666.600;57.75;50.733.333.333.333.300;51.733.333.333.333.300;6.488.333.333.333.330;7.271.666.666.666.660
