;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Crema, Dante Alighieri, 49;Cremona, Sesto, 41;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libert�, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Roma, 59;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi (ex piazza Scuole);San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro, Europa, 2;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Cremona, Palosca n. 2;Ostiano;San Giovanni
Agnadello, Marconi, 6;61;47844;15755;67123;20433;18977;8718;49814;20998;100.8;36207;31652;57646;83343;21008;20614;50.2;59426;10245;31998;66982;71462;46585;94.61;83344;27537;24886;96983;11178;11178;22603;107.11;47871;11354;5219;64101;75982;89121;568225;44108;55263;113564;19577;23168;102188;6887;31213;38891;89927;89045;18203;50.75;88822;30751;39458;191427;10483;10596;35285;12619;5003;72047;59817;64234;64234;107757;107757
Annicco, Giuseppe Garibaldi, 6;46623;0.0;33759;25454;36706;29716;41926;7866;35287;59131;26511;15663;14415;41674;26109;26538;8531;17757;41438;16731;25313;29793;5796;52941;41675;20244;22.08;55314;37759;19662;24361;40853;11;11;41946;22432;34313;47452;530829;15218;31571;71895;31019;24869;60519;49685;20751;20751;48258;47376;36448;9081;47153;19865;6336;204062;44882;35246;12981;36472;46184;30378;18148;22565;22565;40561;40561
Bagnolo Cremasco, Roma, 3;15212;34788;0.0;54067;23084;5.5;16992;36407;21665;87744;29767;18596;44.59;70287;8132;9975;37144;46.37;10027;19.07;53926;58406;33529;81554;70288;14609;11958;83927;3526;3526;14918;69466;34815;5261;8413;51045;62926;76065;551121;29508;51001;100508;17397;10.24;10.24;18274;18285;18285;76871;75989;16884;37694;75766;25927;26.53;196.8;13471;8752;22357;2833;14731;58991;46761;51178;51178;69174;69174
Bonemerse, Roma, 25;67066;26.37;54175;0.0;57149;50159;57181;21456;55.73;36041;53135;36106;14591;18584;46552;46981;16729;6.33;61881;40311;9518;14684;26513;27395;23693;44198;42523;32224;58202;40105;48315;22714;26397;57123;60275;9817;16331;29.47;522045;33748;36431;48805;51462;45312;37429;70128;45019;30833;25168;24546;56891;18599;24063;42701;31929;200247;65325;55689;37235;56915;61439;12396;6563;3637;3637;22579;25758
Camisano, Trieste, 57;20626;33449;23002;57.64;0.0;20002;16348;34731;5032;91317;40289;22169;43643;73.86;14195;14351;40717;49943;24303;18.87;57499;55.92;37102;85127;73861;14658;15403;87.5;22091;23378;10274;62951;33476;18167;20696;54618;62.58;79638;560387;35953;40.18;104081;7674;17834;92705;21949;16062;29408;80444;79562;5.86;41267;79339;17331;29687;204999;27766;15448;22157;20804;15047;62564;50334;54751;54751;67091;81034
Capergnanica, XI febbraio, 7;19574;30975;6145;50254;19812;0.0;15242;33048;18393;83931;26618;14783;40777;66474;6235;5402;33331;42557;14389;15798;50113;54593;29716;77741;66475;11337;8686;80114;10.71;10299;11646;65496;31002;9631;12783;47232;59113;72252;547308;25695;47729;96695;14125;5108;85319;22636;15013;22022;73058;72176;15135;33881;71953;22655;23171;206961;17833;13122;19085;9423;19.09;55178;42948;47365;47365;65361;73648
Capralba, Piave, 2;8753;40176;16322;62704;16395;15022;36;41.83;11259;96381;37832;27233;50.37;78924;11.09;11995;45781;55007;17766;23934;62563;62647;42166;90191;78925;19722;20467;92564;15554;20921;14247;69678;40203;11.63;14159;59682;69307;84702;557.93;41017;46907;109145;11221;15377;97769;13481;21126;34472;85508;84886;9847;46331;84403;22395;34751;198377;21229;8911;27221;14267;5059;67628;55398;59815;59815;72155;86098
Casalbuttano ed Uniti, Jacini, 23;50527;9244;40639;21.56;35397;37639;42163;123;35524;55237;35644;18506;8915;37.78;31832;31988;13425;14608;48318;20674;21419;22536;14929;49047;37781;24187;25338;51.42;44639;23301;27096;29567;9271;43982;46511;15317;29196;43558;533631;24351;23327;68001;33489;28508;56625;56375;22467;18681;44364;43742;36685;14223;43259;21581;10754;211833;51762;41263;16924;43352;46421;26484;14999;18671;18671;32044;44954
Casale Cremasco-Vidolasco, Roma, 56;19.57;33558;21448;56086;5043;18448;11206;35212;0.0;89763;38735;20615;43752;72306;12641;12797;39163;48389;19161;17316;55945;56029;35548;83573;72307;13104;13849;85946;16949;21824;7241;63.06;33585;13025;15554;53064;62689;78084;558833;34399;40289;102527;4215;16.28;91151;22502;14508;27854;78.89;78268;1.81;39713;77785;15777;28133;208621;22624;10306;20603;15662;15.6;61.01;48.78;53197;53197;65537;79.48
Casalmaggiore, Guglielmo Marconi, 8;100776;60.08;87885;36074;90859;83869;90891;55166;89.44;0.0;91.65;69816;48301;18284;80262;80691;50439;40711;125284;74021;40723;40769;60223;7664;26925;77908;76233;5119;91912;73815;82693;36669;60107;90833;96099;43876;36428;18751;473051;65956;71153;13692;85172;79022;10038;103838;78729;64543;11928;14637;90601;52309;12444;76411;65639;239991;99035;89399;70945;90625;95149;37064;42845;37347;37347;36534;12025
