;Sospiro
0;61.0
1;29.0
2;52.0
3;7.0
4;55.0
5;49.0
6;59.0
7;26.0
8;54.0
9;28.0
10;40.0
11;35.0
12;19.0
13;10.0
14;48.0
15;48.0
16;16.0
17;16.0
18;58.0
19;42.0
20;12.0
21;16.0
22;27.0
23;20.0
24;17.0
25;45.0
26;42.0
27;23.0
28;54.0
29;40.0
30;50.0
31;19.0
32;29.0
33;54.0
34;58.0
35;15.0
36;12.0
37;21.0
38;280.0
39;34.0
40;31.0
41;40.0
42;51.0
43;44.0
44;28.0
45;64.0
46;46.0
47;33.0
48;16.0
49;16.0
50;55.0
51;24.0
52;15.0
53;45.0
54;35.0
55;118.0
56;60.0
57;57.0
58;38.0
59;54.0
60;63.0
61;13.0
62;16.0
63;8.0
64;20.0
