;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Crema, Dante Alighieri, 49;Cremona, Sesto, 41;Cremona, Ugolani Dati, 4;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libertà, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Roma, 59;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi (ex piazza Scuole);San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro, Europa, 2;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Cremona, Palosca n. 2;Ostiano;San Giovanni
Agnadello, Marconi, 6;0.18333333333333332;41.266.666.666.666.600;17.033.333.333.333.300;5.853.333.333.333.330;22.883.333.333.333.300;17.0;10.333.333.333.333.300;4.606.666.666.666.660;21.733.333.333.333.300;87.65;3.506.666.666.666.660;28.75;49.8;7.066.666.666.666.660;21.033.333.333.333.300;20.866.666.666.666.600;41.55;53.983.333.333.333.300;53.983.333.333.333.300;11.45;29.5;58.05;63.083.333.333.333.300;40.05;8.151.666.666.666.660;70.65;24.316.666.666.666.600;23.316.666.666.666.600;8.218.333.333.333.330;12.5;12.5;23.85;6.586.666.666.666.660;41.35;12.15;7.35;5.513.333.333.333.330;6.528.333.333.333.330;75.65;3.048.666.666.666.660;41.65;53.5;10.033.333.333.333.300;20.4;20.05;8.891.666.666.666.660;7.666.666.666.666.660;27.483.333.333.333.300;35.3;76.4;76.8;18.866.666.666.666.600;42.983.333.333.333.300;75.35;30.183.333.333.333.300;3.828.333.333.333.330;11.901.666.666.666.600;12.25;12.55;32.95;12.65;7.166.666.666.666.660;6.178.333.333.333.330;5.518.333.333.333.330;5.606.666.666.666.660;5.606.666.666.666.660;66.7;66.7
Annicco, Giuseppe Garibaldi, 6;3.996.666.666.666.660;0.0;33.1;25.483.333.333.333.300;33.65;28.2;38.266.666.666.666.600;10.55;3.261.666.666.666.660;5.471.666.666.666.660;25.116.666.666.666.600;13.95;15.783.333.333.333.300;37.65;27.15;26.466.666.666.666.600;8.5;21.066.666.666.666.600;21.066.666.666.666.600;3.638.333.333.333.330;18.816.666.666.666.600;24.983.333.333.333.300;30.166.666.666.666.600;6.233.333.333.333.330;4.853.333.333.333.330;3.763.333.333.333.330;21.8;21.65;49.166.666.666.666.600;3.363.333.333.333.330;18.766.666.666.666.600;27.183.333.333.333.300;3.838.333.333.333.330;0.03333333333333333;0.03333333333333333;36.666.666.666.666.600;22.183.333.333.333.300;3.231.666.666.666.660;42.733.333.333.333.300;2.838.666.666.666.660;16.033.333.333.333.300;37.4;6.743.333.333.333.330;29.733.333.333.333.300;22.716.666.666.666.600;5.596.666.666.666.660;4.313.333.333.333.330;21.95;21.95;43.416.666.666.666.600;4.386.666.666.666.660;33.666.666.666.666.600;9.95;42.35;21.116.666.666.666.600;7.833.333.333.333.330;119.85;38.1;3.571.666.666.666.660;15.266.666.666.666.600;32.85;43.05;28.85;22.333.333.333.333.300;23.05;23.05;37.766.666.666.666.600;37.766.666.666.666.600
Bagnolo Cremasco, Roma, 3;15.15;32.266.666.666.666.600;0.0;49.483.333.333.333.300;22.9;7.55;19.583.333.333.333.300;40.35;21.866.666.666.666.600;78.55;28.75;19.65;4.081.666.666.666.660;6.163.333.333.333.330;13.183.333.333.333.300;13.15;32.55;4.493.333.333.333.330;4.493.333.333.333.330;11.533.333.333.333.300;21.283.333.333.333.300;49.016.666.666.666.600;5.403.333.333.333.330;31.05;7.256.666.666.666.660;61.65;16.1;15.1;7.313.333.333.333.330;6.983.333.333.333.330;6.983.333.333.333.330;17.866.666.666.666.600;6.243.333.333.333.330;32.35;7.05;11.433.333.333.333.300;46.15;5.628.333.333.333.330;66.65;2.981.666.666.666.660;30.483.333.333.333.300;50.766.666.666.666.600;9.128.333.333.333.330;18.983.333.333.333.300;11.85;11.85;18.216.666.666.666.600;19.283.333.333.333.300;19.283.333.333.333.300;6.736.666.666.666.660;67.8;19.45;33.983.333.333.333.300;6.636.666.666.666.660;27.233.333.333.333.300;30.1;111.8;13.266.666.666.666.600;12.116.666.666.666.600;24.75;5.983.333.333.333.330;21.583.333.333.333.300;52.8;46.166.666.666.666.600;47.083.333.333.333.300;47.083.333.333.333.300;61.85;61.85
Bonemerse, Roma, 25;58.95;25.816666666666666;51.25;0.0;52.0;46.583333333333336;55.95;22.05;50.983333333333334;32.916666666666664;36.2;32.2;16.966666666666665;15.783333333333333;45.45;44.9;16.783333333333335;11.416666666666666;11.416666666666666;55.233333333333334;37.81666666666667;12.116666666666667;18.816666666666666;25.1;26.716666666666665;23.466666666666665;40.516666666666666;40.06666666666667;27.383333333333333;52.38333333333333;37.18333333333333;46.06666666666667;23.9;25.9;51.13333333333333;55.36666666666667;11.766666666666667;17.983333333333334;28.5;278.3833333333333;33.31666666666667;28.45;46.233333333333334;48.25;41.15;34.18333333333333;61.983333333333334;41.03333333333333;29.7;21.6;22.0;52.05;20.233333333333334;20.583333333333332;42.63333333333333;31.3;113.08333333333333;57.016666666666666;54.05;34.78333333333333;51.65;60.86666666666667;14.5;12.366666666666667;4.766666666666667;4.783333333333333;23.433333333333334;22.016666666666666
Camisano, Trieste, 57;22.75;33.0;23.466666666666665;52.2;0.0;19.616666666666667;15.683333333333334;33.016666666666666;5.8;81.2;39.43333333333333;22.15;41.983333333333334;64.23333333333333;16.483333333333334;16.083333333333332;35.18333333333333;47.56666666666667;47.56666666666667;24.316666666666666;18.95;51.7;52.05;33.68333333333333;75.18333333333334;64.48333333333333;14.233333333333333;16.75;75.83333333333333;23.35;22.233333333333334;11.416666666666666;60.71666666666667;33.06666666666667;18.15;20.3;48.75;57.0;69.51666666666667;310.98333333333335;37.083333333333336;40.2;94.46666666666667;9.166666666666666;17.033333333333335;82.51666666666667;24.383333333333333;15.183333333333334;28.666666666666668;70.0;70.43333333333334;7.933333333333334;36.61666666666667;69.0;17.016666666666666;27.95;124.5;26.616666666666667;14.95;22.4;22.616666666666667;18.233333333333334;55.483333333333334;48.8;49.71666666666667;49.71666666666667;60.96666666666667;70.43333333333334
Capergnanica, XI febbraio, 7;18.216666666666665;29.783333333333335;9.116666666666667;46.56666666666667;19.933333333333334;0.0;18.966666666666665;37.833333333333336;18.9;75.58333333333333;25.833333333333332;16.366666666666667;37.93333333333333;58.61666666666667;10.933333333333334;9.2;29.55;41.93333333333333;41.93333333333333;14.466666666666667;18.366666666666667;46.06666666666667;50.96666666666667;28.05;69.53333333333333;58.833333333333336;13.233333333333333;12.166666666666666;70.18333333333334;11.666666666666666;10.783333333333333;15.066666666666666;59.46666666666667;29.866666666666667;10.416666666666666;14.8;43.06666666666667;53.416666666666664;63.86666666666667;299.81666666666666;27.3;48.233333333333334;88.63333333333334;16.116666666666667;5.9;76.83333333333333;21.3;16.416666666666668;23.016666666666666;64.35;64.78333333333333;18.933333333333334;30.966666666666665;63.35;24.533333333333335;27.1;129.55;16.166666666666668;15.316666666666666;21.833333333333332;10.95;23.716666666666665;49.86666666666667;43.18333333333333;44.1;44.1;58.983333333333334;64.8
Capralba, Piave, 2;9.9;37.36666666666667;19.833333333333332;56.11666666666667;15.7;17.833333333333332;0.11666666666666667;37.8;12.966666666666667;85.26666666666667;41.15;26.233333333333334;46.81666666666667;68.23333333333333;13.55;15.416666666666666;39.2;51.6;51.6;18.283333333333335;23.183333333333334;55.75;56.53333333333333;37.7;79.11666666666666;68.41666666666667;18.433333333333334;20.933333333333334;79.78333333333333;17.35;23.933333333333334;15.05;65.4;37.416666666666664;12.15;14.3;52.68333333333333;61.583333333333336;73.45;312.65;41.166666666666664;44.733333333333334;98.26666666666667;11.666666666666666;18.7;86.5;15.966666666666667;19.4;32.68333333333333;73.93333333333334;74.26666666666667;9.916666666666666;40.68333333333333;72.93333333333334;21.233333333333334;32.166666666666664;123.41666666666667;20.6;8.95;26.616666666666667;16.583333333333332;6.983333333333333;59.483333333333334;52.833333333333336;53.666666666666664;53.666666666666664;65.05;74.4
Casalbuttano ed Uniti, Jacini, 23;47.766666666666666;11.6;42.8;22.966666666666665;34.083333333333336;38.85;39.03333333333333;0.36666666666666664;33.46666666666667;52.03333333333333;36.88333333333333;22.383333333333333;10.466666666666667;35.016666666666666;35.7;35.333333333333336;15.216666666666667;18.816666666666666;18.816666666666666;46.31666666666667;22.4;22.466666666666665;23.0;17.383333333333333;46.016666666666666;35.25;25.316666666666666;31.633333333333333;46.61666666666667;43.416666666666664;29.466666666666665;29.183333333333334;31.7;11.683333333333334;41.63333333333333;43.61666666666667;18.8;27.95;40.28333333333333;290.1;27.533333333333335;27.866666666666667;65.31666666666666;32.38333333333333;33.36666666666667;53.28333333333333;52.11666666666667;22.783333333333335;22.233333333333334;40.833333333333336;41.21666666666667;34.5;17.433333333333334;39.833333333333336;21.916666666666668;12.55;124.21666666666667;47.983333333333334;38.333333333333336;19.033333333333335;42.6;43.85;26.283333333333335;20.116666666666667;20.55;20.55;31.383333333333333;41.266666666666666
Casale Cremasco-Vidolasco, Roma, 56;21.616666666666667;32.3;22.65;51.016666666666666;6.283333333333333;18.716666666666665;12.933333333333334;32.75;0.0;80.2;38.666666666666664;21.183333333333334;41.78333333333333;63.13333333333333;15.566666666666666;15.2;34.15;46.56666666666667;46.56666666666667;21.5;18.166666666666668;50.666666666666664;51.46666666666667;32.65;74.06666666666666;63.36666666666667;13.416666666666666;15.883333333333333;74.73333333333333;20.65;21.466666666666665;10.216666666666667;60.35;32.333333333333336;15.45;17.516666666666666;47.63333333333333;56.5;68.4;309.85;36.11666666666667;39.666666666666664;93.21666666666667;6.883333333333334;16.216666666666665;81.51666666666667;23.633333333333333;14.366666666666667;27.666666666666668;68.95;69.28333333333333;4.3;35.666666666666664;67.93333333333334;16.166666666666668;27.1;127.51666666666667;23.866666666666667;12.233333333333333;21.583333333333332;19.883333333333333;17.583333333333332;54.5;47.81666666666667;48.68333333333333;48.65;59.983333333333334;69.41666666666667
Casalmaggiore, Guglielmo Marconi, 8;88.43333333333334;54.86666666666667;80.8;33.68333333333333;81.7;76.08333333333333;85.53333333333333;51.68333333333333;80.68333333333334;0.0;62.766666666666666;61.86666666666667;46.583333333333336;18.35;74.96666666666667;74.36666666666666;46.333333333333336;41.21666666666667;41.21666666666667;80.96666666666667;67.43333333333334;36.45;37.65;54.55;12.283333333333333;29.35;70.1;69.6;9.0;81.95;66.85;76.66666666666667;35.9;54.93333333333333;80.7;84.96666666666667;40.28333333333333;33.233333333333334;21.133333333333333;262.26666666666665;62.766666666666666;57.61666666666667;17.65;77.85;70.6;13.55;91.43333333333334;70.61666666666666;59.21666666666667;13.85;19.1;81.55;49.75;14.333333333333334;71.68333333333334;60.983333333333334;142.45;86.58333333333333;83.51666666666667;64.05;81.08333333333333;90.21666666666667;34.03333333333333;44.8;34.3;34.3;35.43333333333333;13.866666666666667
